0.4984,0.7375
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.0156,0.3937
0.4656,0.9187
-1,-1
0.7046,0.5854
0.5421,0.3687
0.4828,0.7875
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.7234,0.6458
0.2671,0.5041
0.4781,0.5625
-1,-1
-1,-1
-1,-1
-1,-1
0.0718,0.6166
0.65,0.5416
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.3687,0.4291
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.95,0.577
0.1781,0.9312
0.1046,0.1375
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.4687,0.7625
-1,-1
-1,-1
0.1968,0.777
-1,-1
0.6,0.3687
-1,-1
-1,-1
-1,-1
-1,-1
0.864,0.6604
0.6671,0.8395
0.4328,0.5583
-1,-1
0.5687,0.727
0.4687,0.7479
0.1578,0.9729
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.7203,0.6
0.7312,0.6625
0.1046,0.4875
-1,-1
0.4296,0.402
0.0468,0.5729
-1,-1
-1,-1
0.389,0.7375
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.4671,0.2208
0.439,0.3375
0.1406,0.2854
-1,-1
-1,-1
-1,-1
0.1953,0.2229
0.5531,0.2458
0.9921,0.5229
0.05,0.9833
-1,-1
0.9625,0.8875
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.9,0.3041
-1,-1
-1,-1
-1,-1
-1,-1
0.6531,0.6354
-1,-1
0.6406,0.5958
-1,-1
-1,-1
0.2546,0.4937
-1,-1
-1,-1
0.0593,0.5666
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.3921,0.225
-1,-1
0.4968,0.6166
0.5703,0.7541
0.3531,0.9895
-1,-1
0.7718,0.9354
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.2234,0.9395
-1,-1
0.2906,0.2708
-1,-1
-1,-1
0.589,0.8354
0.2765,0.3687
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.3546,0.677
-1,-1
0.3921,0.402
-1,-1
-1,-1
-1,-1
0.6531,0.3354
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.2281,0.1958
-1,-1
-1,-1
0.8828,0.3
0.5,0.5229
-1,-1
-1,-1
0.0156,0.2854
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.6062,0.9041
-1,-1
0.5828,0.6
-1,-1
0.6015,0.8708
-1,-1
-1,-1
0.2687,0.4687
-1,-1
-1,-1
-1,-1
-1,-1
0.4546,0.8895
